activation_date,latitude,longitude,gym,lift,swimming_pool,negotiable,property_size,property_age,bathroom,cup_board,floor,total_floor,balconies,rent,type_BHK1,type_BHK2,type_BHK3,type_BHK4,type_BHK4PLUS,type_RK1,lease_ANYONE,lease_BACHELOR,lease_COMPANY,lease_FAMILY,fur_FULLY_FURNISHED,fur_NOT_FURNISHED,fur_SEMI_FURNISHED,parking_BOTH,parking_FOUR_WHEELER,parking_NONE,parking_TWO_WHEELER,face_E,face_N,face_NE,face_NW,face_S,face_SE,face_SW,face_W,water_BOREWELL,water_CORPORATION,water_CORP_BORE,building_AP,building_GC,building_IF,building_IH,"""INTERNET""","""AC""","""CLUB""","""INTERCOM""","""POOL""","""CPA""","""FS""","""SERVANT""","""SECURITY""","""SC""","""GP""","""PARK""","""RWH""","""STP""","""HK""","""PB""","""VP"""
21-04-2018 14:44,12.9344709,77.634471,1,1,1,0,1250,25,2,2,6,12,2,40000,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
10-09-2017 12:48,12.92955671,77.6722797,0,1,0,1,1400,4,2,2,3,4,2,22000,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
06-12-2018 22:02,12.98287026,80.26201214,0,1,0,0,1350,6,3,3,1,5,3,28000,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
20-07-2018 16:22,12.95599061,77.53163369,0,0,0,1,600,3,1,1,1,2,0,8000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
31-05-2018 17:41,12.96390329,77.64944586,0,0,0,1,1500,15,3,4,0,0,1,45000,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
24-10-2017 18:29,12.9861959,77.7183141,1,1,1,1,1080,0,2,1,3,5,2,18000,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-12-2018 20:29,12.9671442,77.7506621,1,1,1,1,1895,5,3,5,3,9,3,32000,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
30-07-2018 16:01,12.91741383,77.63176379,0,0,0,1,1000,10,2,2,0,2,0,22000,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
26-03-2018 14:11,12.92330118,77.55632407,0,0,0,0,900,10,2,2,0,1,0,10000,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
03-10-2018 17:17,12.97269719,77.75188033,1,1,0,1,1290,4,2,4,2,4,2,19500,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-11-2017 14:58,12.91203861,77.51095016,0,0,0,1,1200,2,2,4,1,2,1,12500,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
11-05-2017 16:14,12.9861748,77.7359562,1,1,0,1,1300,8,2,2,1,4,2,32000,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
27-08-2017 16:55,12.92503445,77.51711461,0,1,0,1,930,7,2,2,1,4,1,11000,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
10-09-2017 16:59,12.9890022,77.7273703,1,1,1,0,1418,4,2,2,11,14,2,32500,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-05-2018 15:18,12.95477496,77.65003747,0,0,0,1,600,10,1,1,2,2,0,12000,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
03-11-2018 15:39,12.98651659,77.57478136,0,0,0,1,1200,2,1,0,1,3,1,15000,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
15-07-2018 17:08,12.99852641,77.63100653,0,0,0,0,1200,3,2,2,1,3,2,18500,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
14-08-2017 12:02,12.9082396,77.6074088,0,0,0,0,1200,10,2,0,1,2,1,21000,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
15-12-2017 14:53,12.90057001,77.70788521,0,0,0,0,1020,0,2,2,4,15,2,22000,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
06-08-2018 21:28,12.9243632,77.6532669,0,1,0,1,1084,10,2,2,0,4,3,24000,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
08-09-2017 20:38,12.9746806,77.70353616,1,1,0,1,1285,3,2,2,0,5,0,27000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
19-06-2018 17:45,12.95186174,77.7066702,0,0,0,1,600,1,1,2,2,2,1,14000,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-02-2018 14:59,12.9960482,77.719061,0,0,0,1,800,1,1,0,0,4,1,12000,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
17-05-2018 22:53,12.9923765,77.7026845,1,1,1,1,1610,8,2,6,2,19,3,36000,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
28-05-2018 09:50,12.90803896,77.62437345,0,0,0,1,1100,10,2,2,1,2,1,15000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
05-08-2018 19:26,12.98529219,77.71810454,0,0,0,1,1200,10,2,2,0,1,0,20000,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
28-04-2018 18:08,12.9937143,77.6807931,0,1,0,0,800,3,2,1,3,3,0,16000,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
24-09-2017 11:48,12.95216607,77.62247264,0,0,0,1,800,12,1,2,0,0,0,10000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
13-07-2017 14:21,12.9336504,77.7022315,1,1,1,1,1484,1,2,1,1,4,1,22000,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
24-06-2018 17:18,12.97182324,77.52198776,0,0,0,1,500,10,1,2,2,2,0,9000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
24-06-2018 18:19,12.97372627,77.70822144,0,1,0,0,1200,5,2,2,2,4,1,19500,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
25-05-2018 21:13,12.95963193,77.74794814,0,1,0,0,1300,8,2,2,1,1,2,25000,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
24-04-2018 11:20,12.97235646,77.64366828,0,0,0,1,250,10,1,1,0,2,0,11000,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
16-07-2017 10:55,12.99151617,77.70293323,1,1,1,1,1860,5,3,5,14,20,3,48000,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-06-2018 10:34,12.96146892,77.71904367,0,0,0,1,250,0,1,1,3,3,0,9000,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
14-04-2018 14:15,12.98220154,77.64837989,0,0,0,0,972,0,2,5,2,3,3,31000,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-02-2017 20:49,12.91085303,77.57827029,0,0,0,1,1050,15,2,4,1,2,1,20000,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
04-08-2018 18:01,12.96254812,77.68155776,0,0,0,0,850,1,2,2,2,2,1,19000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
06-05-2018 12:41,12.9297994,77.58953323,0,0,0,1,1050,10,1,3,2,3,0,16000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
24-02-2018 20:01,12.9076634,77.54547321,1,1,1,1,1175,0,2,3,4,5,2,20000,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
25-07-2017 13:58,12.91615213,77.67418514,1,1,1,1,1876,1,3,5,3,9,4,50000,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
28-07-2017 18:41,12.97217341,77.65388683,0,0,0,1,750,5,1,2,0,0,0,12000,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
28-01-2018 18:00,12.94366081,77.60393738,0,0,0,1,900,12,1,2,2,2,1,15000,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
26-03-2018 17:24,12.92394273,77.5839551,0,0,0,0,1200,10,2,4,1,1,1,30000,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-06-2017 12:49,12.9425468,77.5625781,0,0,0,1,900,7,2,3,0,1,0,18000,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
26-05-2018 09:48,12.98905751,77.54061036,0,0,0,1,1100,9,2,5,3,3,1,14000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
22-01-2018 18:03,12.90771214,77.68045842,0,1,0,0,1230,0,2,2,2,3,2,21000,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
03-07-2018 17:04,12.9834759,77.7755112,1,1,1,1,1435,0,2,4,0,4,3,20000,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-12-2018 18:41,12.91627014,77.60292892,0,0,0,0,400,10,1,0,0,1,0,10000,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
19-08-2017 18:01,12.91717561,77.54679294,0,0,0,1,800,8,2,2,1,2,0,12500,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
07-07-2017 16:14,12.9004037,77.5712556,0,0,0,1,1360,2,3,3,2,3,1,17000,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
14-12-2017 18:04,12.97448255,77.63312254,0,0,0,0,120,5,1,1,3,3,0,8000,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
14-04-2018 15:59,12.94858457,77.60159785,0,0,0,0,650,10,1,1,1,3,1,9000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
15-06-2018 22:14,12.91875984,77.525182,0,0,0,1,900,5,2,2,1,3,0,13500,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
19-01-2018 12:21,12.93816505,77.62890921,1,1,0,1,1172,16,2,2,0,4,1,35000,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
13-02-2018 17:55,12.9661428,77.5490677,0,0,0,1,225,8,1,1,2,2,1,8400,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
06-04-2018 16:30,12.96712395,77.73769691,1,1,0,0,1100,4,2,2,4,4,2,17000,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
27-10-2017 13:51,12.9804965,77.6673131,0,0,0,1,1200,4,2,2,0,0,0,15000,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
28-09-2017 15:11,12.99866239,77.75588273,0,0,0,1,1500,3,3,4,1,2,2,23000,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
